COUNTRY,kek,COUNTRY,GDP (BILLIONS),CODE
Samoa,3.6,Samoa,0.83,WSM
Sao Tome and Principe,7.1,Sao Tome and Principe,0.36,STP
Saudi Arabia,0.2,Saudi Arabia,777.90,SAU
Senegal,0.6,Senegal,15.88,SEN
Serbia,12.6,Serbia,42.65,SRB
Seychelles,5.6,Seychelles,1.47,SYC
Sierra Leone,8.7,Sierra Leone,5.41,SLE
Singapore,2,Singapore,307.90,SGP
Slovakia,13,Slovakia,99.75,SVK
Slovenia,11.6,Slovenia,49.93,SVN
Solomon Islands,1.7,Solomon Islands,1.16,SLB
Somalia,0.5,Somalia,2.37,SOM
South Africa,11,South Africa,341.20,ZAF
South Korea,12.3,South Sudan,11.89,SSD
Spain,11.2,Spain,1400.00,ESP
Sri Lanka,3.7,Sri Lanka,71.57,LKA
Sudan,2.7,Sudan,70.03,SDN
Suriname,6.6,Suriname,5.27,SUR
Swaziland,5.7,Swaziland,3.84,SWZ
Sweden,9.2,Sweden,559.10,SWE
Switzerland,10.7,Switzerland,679.00,CHE
Syria,1.2,Syria,64.70,SYR
Tajikistan,2.8,Tajikistan,9.16,TJK
Tanzania,7.7,Tanzania,36.62,TZA
Thailand,7.1,Thailand,373.80,THA
Timor-Leste,0.6,Timor-Leste,4.51,TLS
Togo,2.3,Togo,4.84,TGO
Tonga,1.6,Tonga,0.49,TON
Trinidad and Tobago,6.7,Trinidad and Tobago,29.63,TTO
Tunisia,1.5,Tunisia,49.12,TUN
Turkey,2,Turkey,813.30,TUR
Turkmenistan,4.3,Turkmenistan,43.50,TKM
Tuvalu,1.5,Tuvalu,0.04,TUV
Uganda,9.8,Uganda,26.09,UGA
Ukraine,13.9,Ukraine,134.90,UKR
United Arab Emirates,4.3,United Arab Emirates,416.40,ARE
United Kingdom,11.6,United Kingdom,2848.00,GBR
United States,9.2,United States,17420.00,USA
Uruguay,7.6,Uruguay,55.60,URY
Uzbekistan,4.6,Uzbekistan,63.08,UZB
Vanuatu,1.4,Vanuatu,0.82,VUT
Venezuela,8.9,Venezuela,209.20,VEN
Vietnam,6.6,Vietnam,187.80,VNM
Yemen,0.3,Yemen,45.45,YEM
Zambia,4,Zambia,25.61,ZMB
Zimbabwe,5.7,Zimbabwe,13.74,ZWE
